prompt,setting,words,ttr,rep2,rep3
en_a,greedy,90,0.6666666666666666,0.0562,0.0114
en_a,temp_0.3,91,0.6153846153846154,0.0889,0.0225
en_a,temp_0.6,82,0.7317073170731707,0.0741,0.05
en_a,temp_1.0,95,0.6736842105263158,0.0319,0.0
en_a,temp0.8_k50,87,0.6666666666666666,0.0233,0.0
en_a,temp0.8_p90,87,0.6666666666666666,0.0233,0.0
en_b,greedy,94,0.5319148936170213,0.1935,0.0761
en_b,temp_0.3,93,0.5806451612903226,0.1848,0.0659
en_b,temp_0.6,93,0.6559139784946236,0.0761,0.022
en_b,temp_1.0,86,0.7093023255813954,0.0235,0.0
en_b,temp0.8_k50,93,0.6559139784946236,0.0652,0.022
en_b,temp0.8_p90,93,0.6559139784946236,0.0652,0.022
en_c,greedy,103,0.6213592233009708,0.0784,0.0198
en_c,temp_0.3,102,0.6274509803921569,0.099,0.03
en_c,temp_0.6,97,0.5567010309278351,0.1979,0.0947
en_c,temp_1.0,99,0.6464646464646465,0.0306,0.0
en_c,temp0.8_k50,93,0.6774193548387096,0.0543,0.0
en_c,temp0.8_p90,93,0.6774193548387096,0.0543,0.0
